Subject,StartDate,EndDate,Random,AttnChk,Chopra_Check,Age,Sex,English,Education,State,BullshitReceptivity,BullshitScale,ChopraScale,BSR_meaningless,BSR_meaningful,HeuristicsBiases,NFC,Faith_Intuition,Numeracy_ACC,WS_ACC,Ravens_ACC,OntologicalConfusions,Metaphors,LiteralStatements,Religious_Belief,Paranormal_Belief,BS_Chopra,BS_Other,NFC_Re,NFC_Ra,Faith_Intuition_Ee,Faith_Intuition_Ea,FreeMarketIdeology,FiscalCons,SocialCons,Party,Party_TEXT,PolTrust,GovTrust,DemGovTrus,RepGovTrus,WealthDistCondition,EstimateRatio,IdealRatio,Estimate_Top20,Estimate_2nd20,Estimate_Middle20,Estimate_4th20,Estimate_Bottom20,Ideal_Top20,Ideal_2nd20,Ideal_Middle20,Ideal_4th20,Ideal_Bottom20,FMI_split,WealthDistError,WealthDistErrorType,IdealDistError,IdealDistErrorType,GodType,RBS_Curren,RBS_Highes,RBS_Lowest,Ravens_ACC_P1,Ravens_ACC_P2,BS_1,BS_2,BS_3,BS_4,BS_5,BS_6,BS_7,BS_8,BS_9,BS_10,BS_11,BS_12,BS_13,BS_14,BS_15,BS_16,BS_17,BS_18,BS_19,BS_20,Chopra_1,Chopra_2,Chopra_3,Chopra_4,Chopra_5,Chopra_6,Chopra_7,Chopra_8,Chopra_9,Chopra_10,CausalBR_ACC,SampleSize_ACC_1,SampleSize_ACC_2,Regr2Mean_ACC,GamblerFallacy_ACC_1,GamblerFallacy_ACC_2,ConjunctionFallacy_ACC_1,ConjunctionFallacy_ACC_2,ConjunctionFallacy_ACC,Covariation_ACC,MethodReasoning_ACC,Bayesian_ACC,DenNeglect_ACC,ProbMatch_ACC,SunkCost_ACC,OutcomeBias_ACC,Numeracy_ACC_1,Numeracy_ACC_2,Numeracy_ACC_3,Numeracy_ACC_4,Numeracy_ACC_5,Numeracy_ACC_6,Numeracy_ACC_7,Numeracy_ACC_8,Numeracy_ACC_9,WS_ACC_1,WS_ACC_2,WS_ACC_3,WS_ACC_4,WS_ACC_5,WS_ACC_6,WS_ACC_7,WS_ACC_8,WS_ACC_9,WS_ACC_10,WS_ACC_11,WS_ACC_12,Ravens_ACC_1,Ravens_ACC_2,Ravens_ACC_3,Ravens_ACC_4,Ravens_ACC_5,Ravens_ACC_6,Ravens_ACC_7,Ravens_ACC_8,Ravens_ACC_9,Ravens_ACC_10,Ravens_ACC_11,Ravens_ACC_12,P.OC_1,P.OC_2,P.OC_3,P.OC_4,P.OC_5,P.OC_6,P.OC_7,P.OC_8,P.OC_9,P.OC_10,P.OC_11,P.OC_12,P.OC_13,P.OC_14,P.OC_15,P.OC_16,P.OC_17,P.OC_18,P.OC_19,P.OC_20,PRafterlife,PRheaven,PRhell,PRmiracles,PRangels,PRdemons,PRsoul,PRsatan,P.PB_1,P.PB_2,P.PB_3,P.PB_4,P.PB_5,P.PB_6,P.PB_7,P.PB_8,P.PB_9,P.PB_10,P.PB_11,P.PB_12,P.PB_13,P.PB_14,P.PB_15,P.PB_16,P.PB_17,P.PB_18,P.PB_19,P.PB_20,P.PB_21,P.PB_22,P.RI_1,P.RI_2,P.RI_3,P.RI_4,P.RI_5,P.RI_6,P.RI_7,P.RI_8,P.RI_9,P.RI_10,P.RI_11,P.RI_12,P.RI_13,P.RI_14,P.RI_15,P.RI_16,P.RI_17,P.RI_18,P.RI_19,P.RI_20,P.EI_1,P.EI_2,P.EI_3,P.EI_4,P.EI_5,P.EI_6,P.EI_7,P.EI_8,P.EI_9,P.EI_10,P.EI_11,P.EI_12,P.EI_13,P.EI_14,P.EI_15,P.EI_16,P.EI_17,P.EI_18,P.EI_19,P.EI_20,P.FMI_1,P.FMI_2,P.FMI_3,P.FMI_4,P.FMI_5
12,7/9/2014,7/9/2014,2,1,1,66,2,1,3,20,4,3.95,4.1,3.6,4.6,.1875,22.5,38.1578947368421,.333333333333333,.454545454545455,.0833333333333333,44.6428571428571,41.6666666666667,25,90.625,18.1818181818182,4,3.9,20,25,30,47.2222222222222,40,5, ,2, ,2,2,1,4,1,11, ,55,25,10,5,5, , , , , ,1,0,0,1,2,1,10,10,9,1,0,4,3,4,4,4,4,4,5,5,2,5,3,5,3,5,4,5,3,4,3,5,4,3,5,4,4,4,4,4,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1, ,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,75,75,25,25,50,75,25,75,0,25,25,100,25,100,25,0,25,0,50,100,100,25,100,100,100,100,100,0,50,0,0,0,0,16.6666666666667,100,0,0,16.6666666666667,0,0,0,0,0,50,16.6666666666667,16.6666666666667,100,0,33.3333333333333,25,0,0,0,0,0,25,0,50,0,100,0,0,25,50,50,50,0,75,0,0,50,25, ,25,25,75,75,25,50,50,25,25,25,25,50,75,25,75,0,75,0,75,0,50
13,7/9/2014,7/9/2014,2,1,1,51,2,1,7,55,2.5,2.2,3.1,1.8,2.6,.75,76.25,62.5,1,.916666666666667,.75,33.9285714285714,33.3333333333333,91.6666666666667,75,32.5757575757576,1.8,2.6,72.5,80,65,60,20,4,2,2, ,2,2,1,3,1,90,16.6666666666667,90,8,2,0,0,50,30,12,5,3,1,0,0,0,0,1,10,10,10,1,1,3,2,2,2,2,3,3,3,3,2,1,2,2,1,1,3,2,3,2,2,3,3,3,3,2,3,4,4,4,2,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,100,25,75,0,75,25,50,0,50,0,0,25,25,25,50,0,50,75,100,100,100,75,50,100,75,50,100,50,50,16.6666666666667,0,50,50,0,50,16.6666666666667,0,50,16.6666666666667,0,50,0,0,16.6666666666667,50,50,66.6666666666667,16.6666666666667,66.6666666666667,100,75,75,75,75,75,75,75,75,100,50,75,75,100,75,75,75,75,75,75,75,75,75,50,75,75,75,75,75,25,50,75,50,50,50,75,75,50,75,75,25,25,25,50,0,0
14,7/9/2014,7/9/2014,2,1,2,49,2,1,6,11,3.7,3.55,4,1.8,4.6,.5,76.3157894736842,83.75,0,.666666666666667,.166666666666667,44.6428571428571,33.3333333333333,100,56.25,68.9393939393939,3.2,3.9,75,77.7777777777778,87.5,80,45,3,2,1, ,4,3,3,3,1,90, ,90,5,3,1,1, , , , , ,1,0,0,1,2,7,10,10,10,1,1,4,3,2,1,4,3,5,4,4,3,1,4,5,4,4,5,5,4,1,5,4,4,2,4,5,5,3,4,4,5,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,75,100,75,50,100,0,75,25,25,25,25,25,25,0,25,50,25,100,100,100,100,25,0,100,100,25,100,0,100,50,16.6666666666667,100,33.3333333333333,66.6666666666667,100,50,16.6666666666667,100,50,50,100,66.6666666666667,16.6666666666667,100,50,100,100,50,100,100,100,100,100,50,100,50,100,100,100,50,100, ,75,50,75,100,50,0,75,75,100,100,75,75,100,100,75,100,75,100,100,50,75,100,75,75,75,75,75,75,50,25,50,50,50
15,7/9/2014,7/9/2014,2,1,2,33,1,1,7,7,1.2,1.25,1.1,1.4,1.6,.375,75,48.75,.666666666666667,.583333333333333,.166666666666667,16.0714285714286,16.6666666666667,100,12.5,2.27272727272727,1.3,1.2,65,85,50,47.5,20,1,1,5,Marxist,1,1,1,1,1,23.3333333333333,1,70,18,5,4,3,20,20,20,20,20,1,0,0,0,0,5,3,4,2,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,100,75,0,0,0,0,50,0,0,0,0,0,0,0,50,100,100,100,25,25,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,25,100,75,75,75,75,75,100,100,50,50,0,75,100,75,100,100,100,100,50,75,75,50,75,75,50,75,50,25,75,75,0,25,0,25,50,75,75,25,0,0,100,0,0,0
16,7/9/2014,7/9/2014,2,1,2,47,2,1,4,42,1.66666666666667,1.65,1.7,2,1.2,.5,60.5263157894737,70,.666666666666667,.833333333333333,.583333333333333,23.2142857142857,33.3333333333333,75,62.5,44.6969696969697,1.5,1.8,52.7777777777778,67.5,75,65,10,2,2,4, ,2,3,3,2,1,80,3,80,9,5,5,1,30,25,20,15,10,1,0,0,0,0,1,10,10,9,1,1,1,2,2,2,1,2,2,1,2,3,2,1,1,2,1,2,1,1,1,3,2,2,2,1,2,1,3,1,2,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,25,0,100,50,0,75,50,0,0,0,0,25,0,0,75,25,0,25,100,100,75,50,50,100,50,50,75,50,50,16.6666666666667,0,50,50,50,83.3333333333333,100,0,83.3333333333333,50,0,83.3333333333333,0,0,50,50,50,16.6666666666667,100,50,50,50,50, ,75,50,50,75,50,75,50,50,50,50,75,75,75,100,25,75,50,75,75,75,75,100,75,50,50,75,75,75,50,75,75,75,100,50,50,75,50,0,25,0,0,25
17,7/9/2014,7/9/2014,2,1,1,27,1,1,5,35,1.03333333333333,1,1.1,1,1,.8125,36.25,38.75,1,.833333333333333,.583333333333333,26.7857142857143,8.33333333333333,100,0,.757575757575757,1,1,42.5,30,47.5,30,0,2,2,4, ,3,2,2,1,1, ,2.07142857142857, , , , , ,29,21,20,16,14,1,1,2,0,0,6,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,75,25,100,75,0,0,75,0,25,0,0,0,0,0,25,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,0,0,0,25,25,50,50,25,50,50,50,25,25,50,0,25,50,50,25,50,50,0,50,50,25,25,25,25,75,25,25,0,50,75,25,25,50,0,50,100,50,25,50,0,0,0,0,0
18,7/9/2014,7/9/2014,2,1,1,33,1,1,3,14,1.83333333333333,1.6,2.3,1.6,1.8,.375,63.75,27.5,.666666666666667,.5,.333333333333333,41.0714285714286,33.3333333333333,66.6666666666667,65.625,15.1515151515151,1.6,1.6,37.5,90,17.5,37.5,80,3,3,4, ,1,2,2,3,1,18.3333333333333,3,55,25,12,5,3,30,25,20,15,10,2,0,0,0,0,1,9,10,9,1,1,3,1,1,1,1,1,2,1,1,3,1,1,1,3,3,2,2,1,2,1,3,3,2,1,2,2,3,3,2,2,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,75,100,100,0,100,0,100,0,0,0,0,75,25,0,100,0,0,0,100,100,75,75,50,75,75,50,75,50,0,33.3333333333333,0,33.3333333333333,0,0,16.6666666666667,66.6666666666667,0,16.6666666666667,0,0,0,16.6666666666667,0,0,0,16.6666666666667,16.6666666666667,66.6666666666667,0,50,25,75,25,100,50,75,50,100,100,25,25,25,100,100,0,100,100,25,100,75,25,50,25,25,25,50,25,25,25,25,25,0,0,0,25,25,75,0,75,25,75,75,100,75,75
19,7/9/2014,7/9/2014,2,1,2,38,2,1,6,12,2.6551724137931,2.63157894736842,2.7,1.4,3.6,.3125,51.25,88.75,.666666666666667,.666666666666667,.75,33.9285714285714,0,100,68.75,21.969696969697,2.3,3,57.5,45,90,87.5,55,5,5,2, ,2,1,2,5,1, ,1, , , , , ,20,20,20,20,20,2,1,3,0,0,1,10,10,10,1,1,3,1,2,2,3,4,3,4,4,1,2,3,3,2,2,5,3,2,1, ,3,3,1,2,5,1,4,2,4,2,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,25,0,100,100,0,50,100,50,50,0,0,0,0,0,0,0,0,100,100,100,50,100,100,50,75,75,25,75,16.6666666666667,50,16.6666666666667,16.6666666666667,0,16.6666666666667,16.6666666666667,66.6666666666667,16.6666666666667,16.6666666666667,0,16.6666666666667,16.6666666666667,0,0,0,0,50,50,50,16.6666666666667,50,75,50,50,25,75,25,75,100,75,50,50,50,25,0,50,50,50,75,25,50,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,75,50,50,75,50,50
20,7/9/2014,7/9/2014,2,1,1,29,2,1,5,6,3.3448275862069,3.31578947368421,3.4,3,3.4,.375,30,60,.666666666666667,.5,.333333333333333,39.2857142857143,16.6666666666667,66.6666666666667,100,56.0606060606061,3.33333333333333,3.3,25,35,65,55,50,3,3,4, ,2,1,2,2,1, ,1, , , , , ,20,20,20,20,20, ,1,3,0,0,1,10,10,9,1,1,3,3,3,3,5,3,3,3,4,4, ,3,4,2,4,3,4,4,2,3,3,5,4,3,3,3,3,3,3,4,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,75,75,50,50,50,50,75,25,0,0,50,0,0,50,50,0,0,75,50,75,100,100,100,100,100,100,100,100,83.3333333333333,83.3333333333333,16.6666666666667,83.3333333333333,16.6666666666667,0,83.3333333333333,83.3333333333333,33.3333333333333,83.3333333333333,16.6666666666667,0,83.3333333333333,83.3333333333333,16.6666666666667,33.3333333333333,33.3333333333333,66.6666666666667,83.3333333333333,83.3333333333333,83.3333333333333,83.3333333333333,25,25,25,25,25,25,25,25,75,25,25,25,25,25,25,25,25,25,75,25,75,25,75,75,75,75,75,75,25,25,75,75,75,25,25,75,25,75,75,75,75,50,25,50,50
21,7/10/2014,7/10/2014, ,2,1,33,2,1,6,25,3,2.95,3.1,3,3.2,.375,50,50,.333333333333333,.333333333333333,.166666666666667,50,50,50,50,50,2.8,3.1,50,50,50,50, , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,5,1,1,1,0,0,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,2,4,3,3,4,3,3,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50, , , , , 
22,7/10/2014,7/10/2014,2,1,1,28,1,1,6,8,2.82758620689655,2.57894736842105,3.3,3.2,2.25,.6875,48.75,48.75,1,.666666666666667,.25,55.3571428571429,50,91.6666666666667,28.125,17.4242424242424,2.5,2.66666666666667,32.5,65,50,47.5,65,4,2,4, ,3,3,4,4,1,34,3,68,14,10,6,2,33,24,18,14,11,2,0,0,0,0,6,2,3,1,1,1,2,3,1,3,2,4,2,2,3,4,4,2,2,3,3,3, ,2,2,2,1,4,3,3,5,2,5,3,3,4,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,50,75,100,75,25,75,75,25,50,0,75,50,50,50,75,25,50,100,75,100,25,25,25,25,25,25,50,25,16.6666666666667,0,0,33.3333333333333,16.6666666666667,50,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,0,16.6666666666667,0,0,16.6666666666667,33.3333333333333,16.6666666666667,33.3333333333333,16.6666666666667,33.3333333333333,16.6666666666667,50,50,25,75,50,0,50,25,100,25,50,25,100,100,0,50,50,50,75,25,50,75,50,50,75,75,25,50,75,50,50,50,75,25,25,25,0,25,75,50,50,75,75,50,75
24,7/10/2014,7/10/2014,2,1,1,26,2,1,5,47,3.13793103448276,3,3.4,2.6,3,.3125,40,82.5,.666666666666667,.5,.25,50,33.3333333333333,100,100,34.8484848484848,3.1,2.88888888888889,47.5,32.5,82.5,82.5,30,4,4,2, ,4,2,2,4,1,8.33333333333333,2.72727272727273,50,20,13,11,6,30,20,19,20,11,1,0,0,0,0,1,10,10,10,1,1,3,3,3,2,4, ,3,3,4,2,4,3,3,3,3,3,3,3,2,3,3,3,3,4,4,3,3,4,3,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,50,75,100,50,75,50,75,25,50,25,25,25,25,50,75,25,0,100,100,100,100,100,100,100,100,100,100,100,33.3333333333333,83.3333333333333,0,50,0,0,66.6666666666667,83.3333333333333,0,83.3333333333333,0,0,50,33.3333333333333,0,0,50,16.6666666666667,50,83.3333333333333,16.6666666666667,66.6666666666667,75,75,25,0,50,25,25,25,25,75,25,75,25,25,25,25,25,75,25,75,75,100,100,75,75,100,100,75,75,100,75,75,75,75,100,100,25,75,100,75,25,25,50,25,25
25,7/10/2014,7/10/2014,2,1,2,20,2,1,5,25,2.23333333333333,1.9,2.9,1.4,2.6,.875,72.5,31.25,1,.833333333333333,.833333333333333,26.7857142857143,16.6666666666667,100,25,2.27272727272727,2,1.8,77.5,67.5,32.5,30,20,1,1,1, ,3,2,2,2,1,20,3.5,60,22,10,5,3,35,25,17,13,10,1,0,0,0,0,6,2,4,1,1,1,3,2,1,2,3,3,1,3,1,1,1,2,3,1,2,2,2,2,1,2,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,25,0,75,75,25,50,75,25,25,0,0,0,0,0,25,0,25,100,100,100,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,75,75,75,75,75,75,75,75,75,75,75,50,50,50,75,75,75,100,75,75,25,25,25,25,50,25,25,25,25,25,50,25,25,25,25,50,75,25,25,25,25,0,25,25,25
26,7/10/2014,7/10/2014,2,1,2,27,1,1,6,11,2.96666666666667,2.8,3.3,2.2,3.6,.5,65,56.25,1,.416666666666667,.333333333333333,33.9285714285714,41.6666666666667,91.6666666666667,25,7.57575757575758,2.4,3.2,67.5,62.5,52.5,60,65,2,2,1, ,2,3,4,2,1,19, ,57,23,11,6,3, , , , , ,2,0,0,1,2,6,2,4,1,1,0,3,1,3,1,3,5,2,3,4,3,3,2,4,2,2,4,4,2,3,2,3,2,2,5,3,4,3,4,3,4,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,75,25,100,50,75,25,75,0,0,0,0,0,0,50,25,75,25,75,100,100,25,25,25,25,25,25,25,25,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,16.6666666666667,0,0,75,25,75,25,100,75,75,75,50,75,75,75,75,75,75,75,75,25,75,25,75,75,25,50,75,50,75,75,75,75,75,75,50,0,25,25,50,25,75,75,75,25,75,75,75
28,7/10/2014,7/10/2014, ,2,2,40,1,1,6,11,2.33333333333333,2.4,2.2,2.4,2.4,.5,51.25,61.8421052631579,.333333333333333,.333333333333333,.0833333333333333,63.4615384615385,50,66.6666666666667,100,50,2.4,2.4,45,57.5,63.8888888888889,60, , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,1,10,10,10,1,1,2,2,2,3,2,2,2,3,2,3,2,3,2,3,3,3,2,3,2,2,3,3,2,1,2,3,2,2,2,2,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,100,100,50,100,75,100,50,25,25, ,25,100,25,50,25,75,0,100,100,100,100,100,100,100,100,100,100,50,66.6666666666667,50,66.6666666666667,0,66.6666666666667,50,66.6666666666667,66.6666666666667,50,0,0,66.6666666666667,33.3333333333333,66.6666666666667,0,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,25,25,50,75,25,25,75,50,50,25,25,25,75,75,50,75,50,75,75,75,75,75,75,75, ,75,75,75,75,25,75,75,25,75,25,75,25,75,75,25, , , , , 
29,7/10/2014,7/10/2014,2,1,2,32,1,1,6,39,1.23333333333333,1.1,1.5,1,1.4,.5,73.6842105263158,42.5,.666666666666667,.916666666666667,.416666666666667,8.92857142857143,0,100,0,7.57575757575758,1.2,1,75,72.5,40,45,20,2,2,4, ,3,1,3,1,1,92,2.5,92,5,2,1,0,30,22,20,16,12,1,0,0,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,3,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,16.6666666666667,0,0,0,0,0,50,0,0,0,0,0, ,75,75,25,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,75,50,25,50,75,50,25,75,25,75,50,75,25,25,25,50,50,25,25,25,25,0,25,25,25,25
30,7/10/2014,7/10/2014,2,1,2,25,2,1,3,48,3.03333333333333,2.8,3.5,2.8,3,.375,78.75,87.5,1,.5,.166666666666667,39.2857142857143,75,100,62.5,53.7878787878788,2.7,2.9,77.5,80,92.5,82.5,30,2,2,1, ,1,4,5,2,1,10,1.66666666666667,50,20,15,10,5,25,20,20,20,15,1,0,0,0,0,3,7,9,3,0,0,4,2,3,4,2,2,2,4,2,5,2,3,2,3,2,3,2,4,1,4,5,2,2,3,4,3,5,3,4,4,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,75,0,100,25,75,25,75,0,100,0,25,25,25,0,75,75,75,100,100,100,75,50,50,25,75,75,100,50,33.3333333333333,83.3333333333333,16.6666666666667,66.6666666666667,16.6666666666667,66.6666666666667,33.3333333333333,66.6666666666667,33.3333333333333,66.6666666666667,0,33.3333333333333,16.6666666666667,16.6666666666667,66.6666666666667,83.3333333333333,83.3333333333333,83.3333333333333,100,66.6666666666667,83.3333333333333,66.6666666666667,75,75,75,100,75,75,100,75,75,100,75,100,75,75,25,75,75,75,75,100,100,100,100,100,100,100,100,100,100,100,75,75,75,100,75,100,0,100,75,75,25,25,0,25,75
31,7/10/2014,7/10/2014,2,1,1,22,1,1,5,54,1.93333333333333,1.8,2.2,1.6,2.6,.625,92.5,6.25,1,.916666666666667,.333333333333333,26.7857142857143,33.3333333333333,75,0,2.27272727272727,2,1.6,90,95,2.5,10,75,4,1,4, ,1,1,1,1,1,31,1.6875,62,18,12,6,2,27,25,16,16,16,2,0,0,0,0,2,8,9,7,1,1,3,1,1,1,3,2,1,4,1,1,4,2,3,1,1,2,1,2,1,1,1,1,4,2,1,3,1,4,4,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,75,25,100,50,0,0,100,0,25,0,0,0,0,0,50,25,25,75,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,100,100,100,100,100,100,100,100,100,75,100,100,75,100,50,100,100,100,75,75,0,25,0,0,0,0,0,0,25,25,0,0,0,0,0,0,50,0,0,0,75,25,100,75,100
32,7/10/2014,7/10/2014,2,1,1,49,2,1,3,36,2,2,2,2,2,.75,47.5,76.3157894736842,.666666666666667,.5,.5,25,25,58.3333333333333,75,0,2,2,27.5,67.5,80,72.2222222222222,35,3,3,4, ,2,2,2,2,1,32,1,64,19,10,5,2,20,20,20,20,20,1,0,0,0,0,2,9,9,9,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,100,25,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,25,75,25,25,25,75,75,25,25,25,75,75,25,75,75,25,75,25,75,100,75,75,75,75,75, ,75,75,100,75,75,75,75,75,25,100,75,75,25,75,25,25,25
33,7/10/2014,7/10/2014,2,1,1,24,1,1,6,53,2.43333333333333,2.3,2.7,2.2,2.4,.9375,77.5,63.75,1,1,.666666666666667,23.2142857142857,8.33333333333333,100,53.125,6.06060606060606,2.4,2.2,92.5,62.5,75,52.5,5,3,3,4, ,1,1,1,1,1,72,1.27777777777778,72,16,9,2,1,23,21,19,19,18,1,0,0,0,0,2,9,10,9,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,2,2,3,2,3,3,2,2,3,3,3,3,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,25,25,25,25,25,0,25,25,25,25,25,25,25,25,25,0,0,100,100,100,100,0,0,75,75,75,100,0,0,0,0,33.3333333333333,0,0,0,0,0,33.3333333333333,0,0,16.6666666666667,0,0,0,16.6666666666667,0,0,0,0,33.3333333333333,100,75,100,100,100,100,100,75,75,100,100,0,0,75,100,75,75,100,75,25,50,75,50,50,100,50,50,50,50,50,100,100,100,75,25,75,50,50,50,75,0,0,0,25,0
